날짜,장르,score
2019-11-30,랩/힙합,832109958.0
2019-11-30,발라드,2887241714.0
2019-11-30,알앤비/소울,421159080.0
2019-11-30,인디,654536158.0
2019-11-30,일렉트로닉,29032505.0
2019-11-30,캐롤,48301067.0
2019-11-30,팝,577905245.0
2019-11-30,포크/어쿠스틱,255395136.0
2019-12-31,OST,30704728.0
2019-12-31,댄스/팝,1867118840.0
2019-12-31,락,38328049.0
2019-12-31,랩/힙합,836108922.0
2019-12-31,발라드,2596749871.0
2019-12-31,알앤비/소울,346455731.0
2019-12-31,인디,439589661.0
2019-12-31,일렉트로닉,25398343.0
2019-12-31,캐롤,279562971.0
2019-12-31,팝,744035732.0
2019-12-31,포크/어쿠스틱,111684048.0
2020-01-31,OST,13891785.0
2020-01-31,댄스/팝,1525374876.0
2020-01-31,락,45398423.0
2020-01-31,랩/힙합,1131204080.0
2020-01-31,발라드,2404612900.0
2020-01-31,성인가요,53530684.0
2020-01-31,알앤비/소울,228406727.0
2020-01-31,인디,478667713.0
2020-01-31,일렉트로닉,25574077.0
2020-01-31,캐롤,91005361.0
2020-01-31,팝,580492343.0
2020-01-31,포크/어쿠스틱,94508736.0
2020-02-29,OST,11507193.0
2020-02-29,댄스/팝,1368861335.0
2020-02-29,락,30532923.0
2020-02-29,랩/힙합,809100173.0
2020-02-29,발라드,2300665052.0
2020-02-29,성인가요,63014241.0
2020-02-29,알앤비/소울,210499056.0
2020-02-29,인디,371296893.0
2020-02-29,일렉트로닉,34967310.0
2020-02-29,캐롤,29138215.0
2020-02-29,팝,564362250.0
2020-02-29,포크/어쿠스틱,70392313.0
2020-03-31,OST,27762731.0
2020-03-31,댄스/팝,1786691271.0
2020-03-31,락,42355252.0
2020-03-31,락/메탈,11662255.0
2020-03-31,랩/힙합,522367562.0
2020-03-31,발라드,1967648136.0
2020-03-31,성인가요,197124451.0
2020-03-31,알앤비/소울,196694229.0
2020-03-31,인디,426135874.0
2020-03-31,일렉트로닉,12481737.0
2020-03-31,캐롤,13569132.0
2020-03-31,팝,547623540.0
2020-03-31,포크/어쿠스틱,76205040.0
2020-04-30,댄스/팝,1684828879.0
2020-04-30,락,42560404.0
2020-04-30,락/메탈,107313849.0
2020-04-30,랩/힙합,422005755.0
2020-04-30,발라드,1718698765.0
2020-04-30,성인가요,271285679.0
2020-04-30,알앤비/소울,227239249.0
2020-04-30,인디,556837626.0
2020-04-30,일렉트로닉,12375605.0
2020-04-30,캐롤,11211526.0
2020-04-30,팝,569194977.0
2020-04-30,포크/어쿠스틱,104624674.0
2020-05-31,댄스/팝,2200667543.0
2020-05-31,락,46224753.0
2020-05-31,락/메탈,22112570.0
2020-05-31,랩/힙합,341862882.0
2020-05-31,발라드,1460274718.0
2020-05-31,성인가요,251837827.0
2020-05-31,알앤비/소울,383203340.0
2020-05-31,인디,745694976.0
2020-05-31,일렉트로닉,12537177.0
2020-05-31,팝,596323275.0
2020-05-31,포크/어쿠스틱,104471170.0
2020-06-30,댄스/팝,1989975678.0
2020-06-30,락,57891384.0
2020-06-30,락/메탈,13968778.0
2020-06-30,랩/힙합,472456819.0
2020-06-30,발라드,1187023022.0
2020-06-30,성인가요,235565341.0
2020-06-30,알앤비/소울,485328731.0
2020-06-30,인디,637947829.0
2020-06-30,일렉트로닉,11996766.0
2020-06-30,팝,620249895.0
2020-06-30,포크/어쿠스틱,68532993.0
2020-07-31,OST,14906995.0
2020-07-31,댄스/팝,2525497358.0
2020-07-31,락,44793863.0
2020-07-31,랩/힙합,653345921.0
2020-07-31,발라드,1183722928.0
2020-07-31,성인가요,200149879.0
2020-07-31,알앤비/소울,349917577.0
2020-07-31,인디,544195515.0
2020-07-31,일렉트로닉,11144552.0
2020-07-31,팝,589715443.0
2020-07-31,포크/어쿠스틱,53213861.0
2020-08-31,댄스/팝,2726873528.0
2020-08-31,락,49118083.0
2020-08-31,랩/힙합,611038076.0
2020-08-31,발라드,1134892367.0
2020-08-31,성인가요,163435928.0
2020-08-31,알앤비/소울,368844337.0
2020-08-31,인디,456695401.0
2020-08-31,일렉트로닉,9765718.0
2020-08-31,팝,540641951.0
2020-08-31,포크/어쿠스틱,52494982.0
2020-09-30,OST,9476665.0
2020-09-30,댄스/팝,2221507183.0
2020-09-30,락,38053214.0
2020-09-30,락/메탈,10683028.0
2020-09-30,랩/힙합,465046018.0
2020-09-30,발라드,1313667869.0
2020-09-30,성인가요,174356325.0
2020-09-30,알앤비/소울,262681113.0
2020-09-30,인디,447614597.0
2020-09-30,팝,545529610.0
2020-09-30,포크/어쿠스틱,76680126.0
2020-10-31,OST,10742764.0
2020-10-31,댄스/팝,2380344739.0
2020-10-31,락,36983355.0
2020-10-31,랩/힙합,452129197.0
2020-10-31,발라드,1514910623.0
2020-10-31,성인가요,167531044.0
2020-10-31,알앤비/소울,184524757.0
2020-10-31,인디,461105420.0
2020-10-31,팝,604054936.0
2020-10-31,포크/어쿠스틱,83335068.0
2020-11-30,OST,10461300.0
2020-11-30,댄스/팝,1949155654.0
2020-11-30,락,23431220.0
2020-11-30,락/메탈,25987815.0
2020-11-30,랩/힙합,509147483.0
2020-11-30,발라드,1578193526.0
2020-11-30,성인가요,157616915.0
2020-11-30,알앤비/소울,152449192.0
2020-11-30,인디,626742378.0
2020-11-30,캐롤,44124193.0
2020-11-30,팝,526398117.0
2020-11-30,포크/어쿠스틱,88092025.0
2020-12-31,OST,13226693.0
2020-12-31,댄스/팝,1383866102.0
2020-12-31,락,20045968.0
2020-12-31,락/메탈,16718863.0
2020-12-31,랩/힙합,967146854.0
2020-12-31,발라드,1256459138.0
2020-12-31,성인가요,101855359.0
2020-12-31,알앤비/소울,254689301.0
2020-12-31,인디,515658066.0
2020-12-31,캐롤,286255885.0
2020-12-31,팝,343000531.0
2020-12-31,포크/어쿠스틱,60841001.0
2021-01-31,OST,26326079.0
2021-01-31,댄스/팝,1151838191.0
2021-01-31,락,16672018.0
2021-01-31,락/메탈,8167848.0
2021-01-31,랩/힙합,749741239.0
2021-01-31,발라드,1164617655.0
2021-01-31,성인가요,88558603.0
2021-01-31,알앤비/소울,193252160.0
2021-01-31,인디,549272031.0
2021-01-31,캐롤,77200356.0
2021-01-31,팝,296975333.0
2021-01-31,포크/어쿠스틱,44123107.0
2021-02-28,OST,54619188.0
2021-02-28,댄스/팝,1225139821.0
2021-02-28,락,16027909.0
2021-02-28,랩/힙합,504564011.0
2021-02-28,발라드,1236842948.0
2021-02-28,성인가요,97761744.0
2021-02-28,알앤비/소울,205850318.0
2021-02-28,인디,481642116.0
2021-02-28,캐롤,26935773.0
2021-02-28,팝,291122940.0
2021-02-28,포크/어쿠스틱,38984350.0
2021-03-31,OST,100482088.0
2021-03-31,댄스/팝,1725975545.0
2021-03-31,락,10011762.0
2021-03-31,락/메탈,126826596.0
2021-03-31,랩/힙합,538169181.0
2021-03-31,발라드,1232024738.0
2021-03-31,성인가요,229270099.0
2021-03-31,알앤비/소울,245759036.0
2021-03-31,인디,580376449.0
2021-03-31,캐롤,13846183.0
2021-03-31,팝,333273094.0
2021-03-31,포크/어쿠스틱,58814739.0
2021-04-30,OST,103983310.0
2021-04-30,댄스/팝,2105404055.0
2021-04-30,락,9719084.0
2021-04-30,락/메탈,123646398.0
2021-04-30,랩/힙합,386235869.0
2021-04-30,발라드,1159687002.0
2021-04-30,성인가요,138545448.0
2021-04-30,알앤비/소울,291109279.0
2021-04-30,인디,519335035.0
2021-04-30,일렉트로닉,19003832.0
2021-04-30,캐롤,9488091.0
2021-04-30,팝,473599660.0
2021-04-30,포크/어쿠스틱,62632461.0
2021-05-31,OST,83139276.0
2021-05-31,댄스/팝,2029433907.0
2021-05-31,락,9941567.0
2021-05-31,락/메탈,74131472.0
2021-05-31,랩/힙합,584565285.0
2021-05-31,발라드,1085445149.0
2021-05-31,성인가요,76995655.0
2021-05-31,알앤비/소울,313016921.0
2021-05-31,인디,463497617.0
2021-05-31,일렉트로닉,58760517.0
2021-05-31,팝,503099536.0
2021-05-31,포크/어쿠스틱,41272197.0
2021-06-30,OST,65936458.0
2021-06-30,댄스/팝,2351497284.0
2021-06-30,락,17947196.0
2021-06-30,락/메탈,84802170.0
2021-06-30,랩/힙합,452708340.0
2021-06-30,발라드,973975135.0
2021-06-30,성인가요,66876555.0
2021-06-30,알앤비/소울,314812695.0
2021-06-30,인디,436903981.0
2021-06-30,일렉트로닉,79197896.0
2021-06-30,팝,500282225.0
2021-06-30,포크/어쿠스틱,41279211.0
2021-07-31,OST,45872175.0
2021-07-31,댄스/팝,2470352219.0
2021-07-31,락,10941547.0
2021-07-31,락/메탈,129935857.0
2021-07-31,랩/힙합,558549062.0
2021-07-31,발라드,1100129030.0
2021-07-31,성인가요,71300494.0
2021-07-31,알앤비/소울,261273433.0
2021-07-31,인디,390225109.0
2021-07-31,일렉트로닉,66081925.0
2021-07-31,팝,473694348.0
2021-07-31,포크/어쿠스틱,57233812.0
2021-08-31,OST,49014440.0
2021-08-31,댄스/팝,2483473994.0
2021-08-31,락,19243127.0
2021-08-31,락/메탈,127478831.0
2021-08-31,랩/힙합,423474607.0
2021-08-31,발라드,971899488.0
2021-08-31,성인가요,103064362.0
2021-08-31,알앤비/소울,230181263.0
2021-08-31,인디,343298498.0
2021-08-31,일렉트로닉,50768507.0
2021-08-31,팝,480956837.0
2021-08-31,포크/어쿠스틱,63125524.0
2021-09-30,OST,35303588.0
2021-09-30,댄스/팝,1997705457.0
2021-09-30,락,18309429.0
2021-09-30,락/메탈,112277304.0
2021-09-30,랩/힙합,313079754.0
2021-09-30,발라드,1082769934.0
2021-09-30,성인가요,157624542.0
2021-09-30,알앤비/소울,217735379.0
2021-09-30,인디,306591222.0
2021-09-30,일렉트로닉,70620267.0
2021-09-30,팝,521881995.0
2021-09-30,포크/어쿠스틱,92421381.0
2021-10-31,OST,34810388.0
2021-10-31,댄스/팝,1903512900.0
2021-10-31,락,17508482.0
2021-10-31,락/메탈,86900728.0
2021-10-31,랩/힙합,329730731.0
2021-10-31,발라드,1094498246.0
2021-10-31,성인가요,160659313.0
2021-10-31,알앤비/소울,188407500.0
2021-10-31,인디,418082679.0
2021-10-31,일렉트로닉,73680300.0
2021-10-31,팝,524470263.0
2021-10-31,포크/어쿠스틱,110916651.0
2021-11-30,OST,39955227.0
2021-11-30,댄스/팝,1471309363.0
2021-11-30,락,8320821.0
2021-11-30,락/메탈,38908910.0
2021-11-30,랩/힙합,870318435.0
2021-11-30,발라드,985521351.0
2021-11-30,성인가요,146797929.0
2021-11-30,알앤비/소울,114327283.0
2021-11-30,인디,423058783.0
2021-11-30,일렉트로닉,57282939.0
2021-11-30,캐롤,52574603.0
2021-11-30,팝,385171542.0
2021-11-30,포크/어쿠스틱,71394294.0
2021-12-31,OST,37748436.0
2021-12-31,댄스/팝,1237514515.0
2021-12-31,락/메탈,23970304.0
2021-12-31,랩/힙합,1330657412.0
2021-12-31,발라드,827650992.0
2021-12-31,성인가요,147098340.0
2021-12-31,알앤비/소울,110906867.0
2021-12-31,인디,288103751.0
2021-12-31,일렉트로닉,42761242.0
2021-12-31,캐롤,291393012.0
2021-12-31,팝,317574338.0
2021-12-31,포크/어쿠스틱,94760944.0
2022-01-31,OST,37001325.0
2022-01-31,댄스/팝,1166921579.0
2022-01-31,락,7819957.0
2022-01-31,락/메탈,20460274.0
2022-01-31,랩/힙합,833484829.0
2022-01-31,발라드,1066927910.0
2022-01-31,성인가요,138546328.0
2022-01-31,알앤비/소울,120477781.0
2022-01-31,인디,272400676.0
2022-01-31,일렉트로닉,33895084.0
2022-01-31,캐롤,68588271.0
2022-01-31,팝,306839896.0
2022-01-31,포크/어쿠스틱,344541911.0
2022-02-28,OST,31293900.0
2022-02-28,댄스/팝,1110710050.0
2022-02-28,락,19309494.0
2022-02-28,락/메탈,12236508.0
2022-02-28,랩/힙합,618760130.0
2022-02-28,발라드,1007541578.0
2022-02-28,성인가요,121315697.0
2022-02-28,알앤비/소울,85588419.0
2022-02-28,인디,213321750.0
2022-02-28,일렉트로닉,22681201.0
2022-02-28,캐롤,11331535.0
2022-02-28,팝,282672322.0
2022-02-28,포크/어쿠스틱,197728675.0
2022-03-31,OST,33480556.0
2022-03-31,댄스/팝,1477363123.0
2022-03-31,락,28845338.0
2022-03-31,락/메탈,25841677.0
2022-03-31,랩/힙합,482990888.0
2022-03-31,발라드,1215618901.0
2022-03-31,성인가요,132650533.0
2022-03-31,알앤비/소울,157028630.0
2022-03-31,인디,262140459.0
2022-03-31,일렉트로닉,21147320.0
2022-03-31,캐롤,9036622.0
2022-03-31,팝,323967205.0
2022-03-31,포크/어쿠스틱,172130843.0
2022-04-30,OST,48448728.0
2022-04-30,댄스,8140671.0
2022-04-30,댄스/팝,2005590255.0
2022-04-30,락,28746644.0
2022-04-30,락/메탈,43239436.0
2022-04-30,랩/힙합,422585250.0
2022-04-30,발라드,1171758641.0
2022-04-30,성인가요,132985906.0
2022-04-30,알앤비/소울,200233125.0
2022-04-30,인디,308067313.0
2022-04-30,일렉트로닉,11025087.0
2022-04-30,팝,332741112.0
2022-04-30,포크/어쿠스틱,161728606.0
2022-05-31,OST,40311466.0
2022-05-31,댄스,137948270.0
2022-05-31,댄스/팝,1922318478.0
2022-05-31,락,24001931.0
2022-05-31,락/메탈,31843363.0
2022-05-31,랩/힙합,454109091.0
2022-05-31,발라드,1423923484.0
2022-05-31,성인가요,42974534.0
2022-05-31,알앤비/소울,183679104.0
2022-05-31,인디,499338752.0
2022-05-31,일렉트로닉,10045668.0
2022-05-31,팝,354985053.0
2022-05-31,포크/어쿠스틱,116114332.0
2022-06-30,OST,29710756.0
2022-06-30,댄스,97400628.0
2022-06-30,댄스/팝,1793788034.0
2022-06-30,락,20051958.0
2022-06-30,락/메탈,36439449.0
2022-06-30,랩/힙합,380564488.0
2022-06-30,발라드,1196636630.0
2022-06-30,성인가요,28011117.0
2022-06-30,알앤비/소울,132541112.0
2022-06-30,인디,468757395.0
2022-06-30,일렉트로닉,9297068.0
2022-06-30,팝,329679782.0
2022-06-30,포크/어쿠스틱,84677782.0
2022-07-31,OST,40395118.0
2022-07-31,댄스,84909759.0
2022-07-31,댄스/팝,2156308973.0
2022-07-31,락,17339318.0
2022-07-31,락/메탈,25068994.0
2022-07-31,랩/힙합,396506921.0
2022-07-31,발라드,1085793029.0
2022-07-31,성인가요,26636200.0
2022-07-31,알앤비/소울,112251919.0
2022-07-31,인디,559299436.0
2022-07-31,일렉트로닉,30132189.0
2022-07-31,팝,303270417.0
2022-07-31,포크/어쿠스틱,85453264.0
2022-08-31,OST,60855759.0
2022-08-31,댄스,65572121.0
2022-08-31,댄스/팝,2330056669.0
2022-08-31,락,8483482.0
2022-08-31,락/메탈,21138690.0
2022-08-31,랩/힙합,346832420.0
2022-08-31,발라드,1078939002.0
2022-08-31,성인가요,25667309.0
2022-08-31,알앤비/소울,95775723.0
2022-08-31,인디,519012231.0
2022-08-31,일렉트로닉,39745369.0
2022-08-31,팝,333484225.0
2022-08-31,포크/어쿠스틱,88194398.0
2022-09-30,OST,60197826.0
2022-09-30,댄스,48379723.0
2022-09-30,댄스/팝,2144929771.0
2022-09-30,락/메탈,15616868.0
2022-09-30,랩/힙합,439662697.0
2022-09-30,발라드,1166447979.0
2022-09-30,성인가요,24678305.0
2022-09-30,알앤비/소울,125214289.0
2022-09-30,인디,480705215.0
2022-09-30,일렉트로닉,21147458.0
2022-09-30,팝,334941457.0
2022-09-30,포크/어쿠스틱,83240320.0
2022-1-30,OST,55552149.0
2022-1-30,댄스,39462634.0
2022-1-30,댄스/팝,1945657109.0
2022-1-30,락/메탈,12039833.0
2022-1-30,랩/힙합,490218305.0
2022-1-30,발라드,1257375932.0
2022-1-30,성인가요,23511664.0
2022-1-30,알앤비/소울,254837471.0
2022-1-30,인디,487170109.0
2022-1-30,일렉트로닉,10737156.0
2022-1-30,팝,361401065.0
2022-1-30,포크/어쿠스틱,69679260.0
2022-11-30,OST,49479198.0
2022-11-30,댄스,32350595.0
2022-11-30,댄스/팝,1698432306.0
2022-11-30,락,8320443.0
2022-11-30,락/메탈,145686616.0
2022-11-30,랩/힙합,386864248.0
2022-11-30,발라드,1102164588.0
2022-11-30,성인가요,22683082.0
2022-11-30,알앤비/소울,182496192.0
2022-11-30,인디,457057111.0
2022-11-30,캐롤,40379581.0
2022-11-30,팝,349199296.0
2022-11-30,포크/어쿠스틱,44344790.0
2022-12-31,OST,41153863.0
2022-12-31,댄스,22901763.0
2022-12-31,댄스/팝,1602253878.0
2022-12-31,락/메탈,116981374.0
2022-12-31,랩/힙합,488640838.0
2022-12-31,발라드,925653293.0
2022-12-31,성인가요,20299692.0
2022-12-31,알앤비/소울,135190456.0
2022-12-31,인디,346727481.0
2022-12-31,일렉트로닉,21467277.0
2022-12-31,캐롤,270633570.0
2022-12-31,팝,306970966.0
2022-12-31,포크/어쿠스틱,43634586.0
2023-01-31,J-POP,9883240.0
2023-01-31,OST,35721559.0
2023-01-31,댄스,21821565.0
2023-01-31,댄스/팝,1722975961.0
2023-01-31,락,8074981.0
2023-01-31,락/메탈,36889395.0
2023-01-31,랩/힙합,471663318.0
2023-01-31,발라드,964302164.0
2023-01-31,성인가요,20075814.0
2023-01-31,알앤비/소울,142043455.0
2023-01-31,인디,342662462.0
2023-01-31,캐롤,44393394.0
2023-01-31,팝,323775531.0
2023-01-31,포크/어쿠스틱,31989012.0
2023-02-28,J-POP,21798597.0
2023-02-28,OST,38778479.0
2023-02-28,댄스,19021623.0
2023-02-28,댄스/팝,1604125683.0
2023-02-28,락,15919133.0
2023-02-28,락/메탈,36672687.0
2023-02-28,랩/힙합,253286629.0
2023-02-28,발라드,803930601.0
2023-02-28,성인가요,31718234.0
2023-02-28,알앤비/소울,126630122.0
2023-02-28,인디,312878448.0
2023-02-28,캐롤,12982783.0
2023-02-28,팝,379010329.0
2023-02-28,포크/어쿠스틱,25062930.0
2023-03-31,J-POP,81396436.0
2023-03-31,OST,32459622.0
2023-03-31,댄스,20471502.0
2023-03-31,댄스/팝,1746562267.0
2023-03-31,락,21239642.0
2023-03-31,락/메탈,107933166.0
2023-03-31,랩/힙합,222783229.0
2023-03-31,발라드,892976316.0
2023-03-31,성인가요,31047548.0
2023-03-31,알앤비/소울,150331572.0
2023-03-31,인디,311229261.0
2023-03-31,캐롤,10114676.0
2023-03-31,팝,435865590.0
2023-03-31,포크/어쿠스틱,37033637.0
2023-04-30,J-POP,79181935.0
2023-04-30,OST,31708347.0
2023-04-30,댄스,14888331.0
2023-04-30,댄스/팝,2164895999.0
2023-04-30,락,20845093.0
2023-04-30,락/메탈,171278998.0
2023-04-30,랩/힙합,221455702.0
2023-04-30,발라드,828322679.0
2023-04-30,성인가요,32314662.0
2023-04-30,알앤비/소울,138159311.0
2023-04-30,인디,301005400.0
2023-04-30,팝,405658714.0
2023-04-30,포크/어쿠스틱,42430083.0
2023-05-31,J-POP,89879093.0
2023-05-31,OST,20428929.0
2023-05-31,댄스,11614507.0
2023-05-31,댄스/팝,2598769601.0
2023-05-31,락,25284111.0
2023-05-31,락/메탈,124745113.0
2023-05-31,랩/힙합,195010013.0
2023-05-31,발라드,933963527.0
2023-05-31,성인가요,18956196.0
2023-05-31,알앤비/소울,188843698.0
2023-05-31,인디,269830599.0
2023-05-31,팝,374070011.0
2023-05-31,포크/어쿠스틱,27037151.0
2023-06-30,J-POP,93720200.0
2023-06-30,OST,17479869.0
